EUR/JPY,買,決済,1000,118.320,118.320,118.320,+501,"2019/09/12 20:51:40","2019/09/23 16:30:02",119000000245716
EUR/USD,買,決済,1000,1.10000,1.10000,1.10000,+235,"2019/09/16 23:54:46","2019/09/23 16:30:00",119000000250591
EUR/JPY,買,決済,1000,118.560,118.560,118.560,+501,"2019/09/12 20:48:49","2019/09/21 05:41:03",119000000245659
USD/JPY,買,新規,1000,107.600,107.600,107.600,,"2019/09/17 11:03:05","2019/09/21 04:47:26",119000000251025
USD/JPY,買,新規,1000,107.700,107.700,107.700,,"2019/09/18 06:27:34","2019/09/21 02:49:24",119000000251718
USD/JPY,買,新規,1000,107.800,107.800,107.800,,"2019/09/17 11:03:05","2019/09/21 02:14:23",119000000251029
EUR/JPY,買,決済,1000,118.800,118.800,118.800,+501,"2019/09/16 23:55:06","2019/09/21 00:31:30",119000000250597
EUR/USD,買,決済,1000,1.10200,1.10200,1.10200,+232,"2019/09/19 03:47:12","2019/09/20 22:21:21",119000000252397
EUR/USD,買,決済,1000,1.10400,1.10400,1.10400,+218,"2019/09/19 03:12:59","2019/09/20 20:18:13",119000000252334
EUR/USD,売,新規,1000,1.10600,1.10600,1.10600,,"2019/09/19 03:12:59","2019/09/19 17:05:37",119000000252333
USD/JPY,買,新規,1000,107.900,107.900,107.900,,"2019/09/19 10:08:46","2019/09/19 12:15:19",119000000252689
USD/JPY,売,決済,1000,108.200,108.198,108.198,+336,"2019/09/19 04:22:39","2019/09/19 10:08:46",119000000137326
EUR/USD,売,新規,1000,1.10400,1.10400,1.10400,,"2019/09/19 03:47:12","2019/09/19 04:45:59",119000000252396
EUR/USD,買,決済,1000,1.10200,1.10200,1.10200,+219,"2019/09/16 22:53:22","2019/09/19 03:47:12",119000000250464
EUR/USD,買,決済,1000,1.10400,1.10400,1.10400,+216,"2019/09/18 18:19:22","2019/09/19 03:12:59",119000000251961
EUR/USD,売,新規,1000,1.10600,1.10600,1.10600,,"2019/09/18 18:19:22","2019/09/18 23:53:55",119000000251960
EUR/USD,買,決済,1000,1.10400,1.10400,1.10400,+219,"2019/09/16 20:17:33","2019/09/18 18:19:22",119000000250286
USD/JPY,売,決済,1000,108.000,107.994,107.994,+295,"2019/09/17 10:13:02","2019/09/18 06:27:34",119000000247789
EUR/USD,売,新規,1000,1.10600,1.10600,1.10600,,"2019/09/16 20:17:33","2019/09/18 00:42:39",119000000250285
EUR/USD,売,新規,1000,1.10400,1.10400,1.10400,,"2019/09/16 22:53:22","2019/09/17 23:12:56",119000000250463
EUR/JPY,売,新規,1000,119.300,119.300,119.300,,"2019/09/16 23:55:06","2019/09/17 22:21:10",119000000250596
EUR/USD,売,新規,1000,1.10200,1.10200,1.10200,,"2019/09/16 23:54:46","2019/09/17 17:28:35",119000000250590
USD/JPY,売,決済,1000,108.100,108.096,108.096,+331,"2019/09/17 10:40:08","2019/09/17 11:03:05",119000000137001
USD/JPY,売,決済,1000,108.100,108.096,108.096,+496,"2019/09/17 05:22:18","2019/09/17 11:03:05",119000000248099
EUR/JPY,買,決済,1000,118.800,118.800,118.800,+500,"2019/09/02 22:08:05","2019/09/16 23:55:06",119000000222992
EUR/USD,買,決済,1000,1.10000,1.10000,1.10000,+218,"2019/09/12 20:48:19","2019/09/16 23:54:46",119000000245648
EUR/USD,買,決済,1000,1.10200,1.10200,1.10200,+218,"2019/09/12 20:46:22","2019/09/16 22:53:22",119000000245615
