AWEFWMAP,31-01-2019 09:36:29,9QSMFGAZ,16-01-2019 11:00:56,USD/JPY （標準） ,-,SELL,1,108.802,108.616,JPY,"1,860",-1591.00,0.00,0.00,0.00,0.00,-,0.00,269
AYZBYSAR,01-02-2019 05:39:23,AD2AZKAV,24-01-2019 23:47:53,GBP/USD （標準） ,-,SELL,1,1.31003,1.30986,USD,185,434.00,0.00,0.00,0.00,0.00,-,0.00,619
A6TXJKA6,05-02-2019 03:41:01,AY2QDFA2,01-02-2019 06:59:35,AUD/USD （標準） ,-,BUY,1,0.72431,0.72472,USD,450,-46.00,0.00,0.00,0.00,0.00,-,0.00,404
BBZFYPA8,06-02-2019 23:50:55,ADZR7SBB,25-01-2019 13:21:00,AUD/JPY （標準） ,-,SELL,1,78.3,78.193,JPY,"1,070",-778.00,0.00,0.00,0.00,0.00,-,0.00,292
BFJAWJA2,07-02-2019 22:48:31,AD3J6YAR,25-01-2019 11:59:48,EUR/JPY （標準） ,-,SELL,1,124.6,124.537,JPY,630,-22.00,0.00,0.00,0.00,0.00,-,0.00,608
BFJWR4AY,07-02-2019 22:48:35,A8KXYMAR,05-02-2019 15:51:15,GBP/USD （標準） ,-,BUY,1,1.29455,1.29499,USD,482,-404.00,0.00,0.00,0.00,0.00,-,0.00,78
BPTSS2A9,12-02-2019 16:57:09,A9Q23TBC,06-02-2019 05:38:05,GBP/JPY （標準） ,-,BUY,1,142.215,142.428,JPY,"2,130",157.00,0.00,0.00,0.00,0.00,-,0.00,"2,287"
BQCP2AAZ,12-02-2019 23:09:21,A9QH4WA4,06-02-2019 05:35:10,EUR/JPY （標準） ,-,BUY,1,125.132,125.18,JPY,480,-153.00,0.00,0.00,0.00,0.00,-,0.00,327
B5JXYABC,19-02-2019 12:47:19,B2EL6SAH,18-02-2019 12:56:07,AUD/USD （標準） ,-,SELL,1,0.716,0.71089,USD,"5,644",3.00,0.00,0.00,0.00,0.00,-,0.00,"5,647"
B5HQTCA7,19-02-2019 12:47:38,B2E9GSAL,18-02-2019 03:53:18,EUR/JPY （標準） ,-,SELL,1,125.081,124.994,JPY,870,-3.00,0.00,0.00,0.00,0.00,-,0.00,867
B5HQTCA7,19-02-2019 12:47:38,B2EQ7YA3,18-02-2019 10:40:46,EUR/JPY （標準） ,-,SELL,1,125.2,124.994,JPY,"2,060",-3.00,0.00,0.00,0.00,0.00,-,0.00,"2,057"
B5HP8TAG,19-02-2019 12:47:51,B2ESB5AG,18-02-2019 03:54:57,EUR/USD （標準） ,-,SELL,1,1.132,1.12835,USD,"4,031",92.00,0.00,0.00,0.00,0.00,-,0.00,"4,123"
CAMDBXBD,21-02-2019 06:16:26,B6BEY8AJ,19-02-2019 16:27:34,AUD/USD （標準） ,-,SELL,1,0.71443,0.70973,USD,"5,189",29.00,0.00,0.00,0.00,0.00,-,0.00,"5,218"
CAMW2MAM,21-02-2019 06:16:40,B6B7C5A8,19-02-2019 16:30:14,AUD/JPY （標準） ,-,SELL,1,79.057,78.604,JPY,"4,530",-201.00,0.00,0.00,0.00,0.00,-,0.00,"4,329"
CAMVSWA2,21-02-2019 06:16:43,B2EHFHBD,19-02-2019 17:27:45,AUD/JPY （標準） ,-,SELL,1,79.201,78.603,JPY,"5,980",-201.00,0.00,0.00,0.00,0.00,-,0.00,"5,779"
CGZDT2AQ,25-02-2019 06:01:45,B2EBHWAM,19-02-2019 08:54:27,USD/JPY （標準） ,-,SELL,1,110.8,110.627,JPY,"1,730",-543.00,0.00,0.00,0.00,0.00,-,0.00,"1,187"
CGYWPJAJ,25-02-2019 06:01:49,CDEMZUAQ,22-02-2019 04:48:09,USD/JPY （標準） ,-,SELL,1,110.806,110.627,JPY,"1,790",-96.00,0.00,0.00,0.00,0.00,-,0.00,"1,694"
CGYP3MAH,25-02-2019 06:02:36,CDFQT7AP,22-02-2019 12:57:06,GBP/JPY （標準） ,-,BUY,1,143.998,144.57,JPY,"5,720",23.00,0.00,0.00,0.00,0.00,-,0.00,"5,743"
CJAJE8AL,25-02-2019 14:42:48,A9QYBFBB,06-02-2019 05:41:38,AUD/USD （標準） ,-,BUY,1,0.71542,0.71816,USD,"3,027",-469.00,0.00,0.00,0.00,0.00,-,0.00,"2,558"
CLFXQSAV,26-02-2019 09:16:37,A6W68TA2,05-02-2019 05:48:43,EUR/JPY （標準） ,-,BUY,1,125.614,125.918,JPY,"3,040",-473.00,0.00,0.00,0.00,0.00,-,0.00,"2,567"
CMAPZVAS,26-02-2019 14:12:13,CGY6LYAU,25-02-2019 16:40:06,USD/JPY （標準） ,-,SELL,1,111.0,110.766,JPY,"2,340",-94.00,0.00,0.00,0.00,0.00,-,0.00,"2,246"
CN8X98A7,27-02-2019 06:44:00,CGXM7BBA,25-02-2019 13:25:15,USD/JPY （標準） ,-,SELL,1,110.8,110.464,JPY,"3,360",-189.00,0.00,0.00,0.00,0.00,-,0.00,"3,171"
CQVTT8AM,27-02-2019 15:38:14,CGYZFQAS,25-02-2019 06:11:19,AUD/USD （標準） ,-,SELL,1,0.71512,0.71342,USD,"1,878",16.00,0.00,0.00,0.00,0.00,-,0.00,"1,894"
CTQ6TWA5,28-02-2019 14:57:29,CRZDR6AJ,28-02-2019 08:10:20,GBP/JPY （標準） ,-,BUY,1,147.0,147.872,JPY,"8,720",0.00,0.00,0.00,0.00,0.00,-,0.00,"8,720"
CGX7XLA6,28-02-2019 15:54:19,CGZ4UZAQ,25-02-2019 06:12:33,EUR/JPY （標準） ,-,SELL,1,125.497,126.754,JPY,"-12,570",-6.00,0.00,0.00,0.00,0.00,-,0.00,"-12,576"
C63EZMAZ,05-03-2019 16:04:15,B6BN2AAM,19-02-2019 16:28:53,EUR/USD （標準） ,-,SELL,1,1.13301,1.12987,USD,"3,504",1319.00,0.00,0.00,0.00,0.00,-,0.00,"4,823"
C9XBQLAL,06-03-2019 16:21:53,CGYZETAS,25-02-2019 07:59:46,AUD/JPY （標準） ,-,SELL,1,79.2,78.459,JPY,"7,410",-440.00,0.00,0.00,0.00,0.00,-,0.00,"6,970"
DCNRDAAR,07-03-2019 14:37:30,C73937AN,06-03-2019 08:37:34,EUR/USD （標準） ,-,SELL,1,1.13101,1.12427,USD,"7,502",290.00,0.00,0.00,0.00,0.00,-,0.00,"7,792"
4Y98APA9,07-03-2019 19:39:27,4Y5MTLAN,13-11-2018 04:01:22,EUR/USD （標準） ,-,SELL,1,1.125,1.11982,USD,"5,760",10856.00,0.00,0.00,0.00,0.00,-,0.00,"16,616"
DD74ECA3,07-03-2019 22:21:12,B2EJF8AQ,19-02-2019 17:38:19,EUR/JPY （標準） ,-,SELL,1,125.501,124.919,JPY,"5,820",-34.00,0.00,0.00,0.00,0.00,-,0.00,"5,786"
DD7LLGA6,07-03-2019 22:21:18,DAYUKAAG,07-03-2019 04:45:58,AUD/USD （標準） ,-,SELL,1,0.705,0.70178,USD,"3,582",6.00,0.00,0.00,0.00,0.00,-,0.00,"3,588"
DD8MWGAY,07-03-2019 22:21:28,DAXQGEAL,07-03-2019 01:41:33,AUD/JPY （標準） ,-,SELL,1,78.565,78.322,JPY,"2,430",-52.00,0.00,0.00,0.00,0.00,-,0.00,"2,378"
DCPX28A6,08-03-2019 17:10:06,DAW9JQAZ,07-03-2019 14:42:48,GBP/USD （標準） ,-,BUY,1,1.30999,1.29989,USD,"-11,254",-85.00,0.00,0.00,0.00,0.00,-,0.00,"-11,339"
EBY5VJAT,21-03-2019 00:06:34,A92URUA6,06-02-2019 08:32:24,EUR/USD （標準） ,-,BUY,1,1.13922,1.14323,USD,"4,414",-5051.00,0.00,0.00,0.00,0.00,-,0.00,-637
EBYS9ZAN,21-03-2019 00:07:17,CMA7HRBB,27-02-2019 18:14:43,USD/JPY （標準） ,-,SELL,1,111.002,110.633,JPY,"3,690",-2201.00,0.00,0.00,0.00,0.00,-,0.00,"1,489"
EBZ5LNBB,21-03-2019 00:07:20,CRZLBXAT,28-02-2019 14:45:19,USD/JPY （標準） ,-,SELL,1,111.2,110.634,JPY,"5,660",-1934.00,0.00,0.00,0.00,0.00,-,0.00,"3,726"
EG5ZDDA7,22-03-2019 11:12:31,EDTT8FA5,21-03-2019 14:30:11,USD/JPY （標準） ,-,SELL,1,110.802,110.394,JPY,"4,080",-101.00,0.00,0.00,0.00,0.00,-,0.00,"3,979"
EP9BP7AQ,26-03-2019 03:50:06,ELUPZSAY,25-03-2019 09:06:51,USD/JPY （標準） ,-,SELL,1,110.2,110.048,JPY,"1,520",-96.00,0.00,0.00,0.00,0.00,-,0.00,"1,424"
ESR5BTAZ,26-03-2019 17:02:27,EDVHDWAL,21-03-2019 16:20:07,AUD/USD （標準） ,-,BUY,1,0.71,0.71427,USD,"4,695",-96.00,0.00,0.00,0.00,0.00,-,0.00,"4,599"
ESRG8GAY,26-03-2019 17:02:30,EFT3PQBB,22-03-2019 15:03:16,AUD/USD （標準） ,-,BUY,1,0.708,0.71428,USD,"6,906",-66.00,0.00,0.00,0.00,0.00,-,0.00,"6,840"
ESRK5KAM,26-03-2019 17:02:52,D8HR6TAZ,20-03-2019 12:23:03,GBP/USD （標準） ,-,BUY,1,1.31999,1.32169,USD,"1,869",-512.00,0.00,0.00,0.00,0.00,-,0.00,"1,357"
ETAS87AM,26-03-2019 23:02:10,ELT9C6AV,25-03-2019 09:00:58,EUR/USD （標準） ,-,SELL,1,1.132,1.1275,USD,"4,949",191.00,0.00,0.00,0.00,0.00,-,0.00,"5,140"
EW3L2JA3,27-03-2019 22:58:40,EP88SCAJ,26-03-2019 09:23:56,EUR/JPY （標準） ,-,SELL,1,124.702,124.288,JPY,"4,140",-81.00,0.00,0.00,0.00,0.00,-,0.00,"4,059"
